step,trees,fires,seedling,ignition,extinction
372,770417,2873,0.0259,0.3519,0.0868
375,765922,2886,0.0259,0.3519,0.0868
378,767110,2860,0.0259,0.3519,0.0868
381,762677,2784,0.0259,0.3519,0.0868
384,763980,2863,0.0259,0.3519,0.0868
387,759573,2942,0.0259,0.3519,0.0868
390,760872,2939,0.0259,0.3519,0.0868
393,756566,3023,0.0259,0.3519,0.0868
396,758036,3035,0.0259,0.3519,0.0868
399,753759,2929,0.0259,0.3519,0.0868
402,755217,2959,0.0259,0.3519,0.0868
405,751096,2982,0.0259,0.3519,0.0868
408,752692,3026,0.0259,0.3519,0.0868
411,748675,2943,0.0259,0.3519,0.0868
414,750327,2861,0.0259,0.3519,0.0868
417,746378,2939,0.0259,0.3519,0.0868
420,748191,2944,0.0376,0.3519,0.0868
423,744954,3082,0.0376,0.3519,0.0868
426,747623,3165,0.0399,0.3519,0.0868
429,744792,3139,0.0423,0.3519,0.0868
432,747871,3086,0.0423,0.3519,0.0868
435,745368,3148,0.0446,0.3519,0.0868
438,748691,3084,0.0446,0.3519,0.0868
441,746584,3199,0.047,0.3519,0.0868
444,750310,3299,0.047,0.3519,0.0868
447,748681,3237,0.047,0.3519,0.0868
450,752615,3310,0.047,0.3519,0.0868
453,751198,3299,0.047,0.3519,0.0868
456,755422,3295,0.047,0.3519,0.0868
459,754133,3275,0.047,0.3519,0.0868
462,758717,3305,0.047,0.3519,0.0868
465,757627,3354,0.047,0.3519,0.0868
468,762391,3455,0.047,0.3519,0.0868
471,761657,3400,0.047,0.3519,0.0868
474,766644,3385,0.047,0.3519,0.0868
477,766066,3336,0.047,0.3519,0.0868
480,771392,3372,0.047,0.3519,0.0868
483,771197,3487,0.047,0.3191,0.0868
486,777000,3301,0.047,0.3144,0.0868
489,777027,3264,0.047,0.3074,0.0868
492,783011,3286,0.047,0.3027,0.0868
495,783101,3426,0.047,0.3003,0.0868
498,788977,3374,0.047,0.3003,0.0868
501,788950,3446,0.047,0.298,0.0868
504,794773,3552,0.047,0.298,0.0868
507,794554,3656,0.047,0.298,0.0868
510,800014,3692,0.047,0.2956,0.0868
513,799740,3917,0.047,0.2956,0.0868
516,804992,4090,0.047,0.2956,0.0868
519,804478,4153,0.047,0.2956,0.0868
522,809618,4282,0.047,0.2909,0.0868
525,808713,4597,0.047,0.2909,0.0868
528,813083,4899,0.047,0.2886,0.0868
531,811523,5173,0.047,0.2886,0.0868
534,814987,5743,0.047,0.2862,0.0868
537,812164,6208,0.047,0.2862,0.0868
540,814765,6558,0.047,0.2839,0.0868
543,811462,6727,0.047,0.2839,0.0868
546,813391,7248,0.047,0.2816,0.0868
549,809408,7534,0.047,0.2816,0.0868
552,810630,7881,0.047,0.2816,0.0868
555,806357,8008,0.047,0.2792,0.0868
558,807983,8201,0.047,0.2769,0.0868
561,803668,8753,0.047,0.2745,0.0868
564,804723,9252,0.047,0.2745,0.0868
567,799576,10079,0.047,0.2745,0.0868
570,799362,11097,0.047,0.2745,0.0868
573,793081,11798,0.047,0.2745,0.0868
576,792007,12289,0.047,0.2722,0.0868
579,785147,12978,0.047,0.2698,0.0868
582,784323,13296,0.047,0.2698,0.0868
